iter	RMSE
0	14.39218501
1	13.97411666
2	13.51440311
3	13.10838802
4	12.74485991
5	12.37138121
6	12.05013682
7	11.77732988
8	11.48772042
9	11.21288235
10	10.91835913
11	10.62023853
12	10.33248381
13	10.06823655
14	9.836232967
15	9.591179539
16	9.367844227
17	9.162164795
18	8.962447294
19	8.772112976
20	8.584514449
21	8.416677894
22	8.290211651
23	8.139973862
24	8.006338038
25	7.891156189
26	7.747062654
27	7.618781389
28	7.51621762
29	7.409748041
30	7.31301732
31	7.223111254
32	7.130801552
33	7.052505646
34	6.963060012
35	6.889593332
36	6.812846855
37	6.754923873
38	6.677936659
39	6.62124062
40	6.562412049
41	6.51012886
42	6.4515815
43	6.399908055
44	6.356737936
45	6.303635314
46	6.25540493
47	6.217113346
48	6.169636346
49	6.122839592
50	6.079952535
51	6.04671597
52	6.012781604
53	5.980225105
54	5.941258041
55	5.912342005
56	5.886566616
57	5.864534655
58	5.850907445
59	5.8188182
60	5.798359385
61	5.778266824
62	5.764184717
63	5.746652306
64	5.723817497
65	5.700584224
66	5.685332884
67	5.670508462
68	5.654174853
69	5.637186374
70	5.623680749
71	5.607995607
72	5.594136685
73	5.581586398
74	5.569538583
75	5.55838039
76	5.547406587
77	5.537556853
78	5.52486583
79	5.51366287
80	5.500562689
81	5.490035908
82	5.479928988
83	5.468028247
84	5.45499522
85	5.443703342
86	5.434655351
87	5.428054792
88	5.413840635
89	5.406361987
90	5.401330023
91	5.388322146
92	5.381968952
93	5.375609352
94	5.363617591
95	5.359125637
96	5.354828614
97	5.3485325
98	5.340625752
99	5.338101521
100	5.333161987
101	5.325052341
102	5.31844223
103	5.312155789
104	5.306667168
105	5.298894559
106	5.296280332
107	5.292088158
108	5.282508794
109	5.27884334
110	5.270079122
111	5.264931095
112	5.259876669
113	5.254117681
114	5.249796868
115	5.246471103
116	5.242413915
117	5.239310857
118	5.237428905
119	5.231974247
120	5.228287816
121	5.22771761
122	5.223477682
123	5.220652445
124	5.215501972
125	5.209420936
126	5.205547183
127	5.2008564
128	5.196100759
129	5.192891889
130	5.190202777
131	5.187355559
132	5.182170207
133	5.179375105
134	5.176227912
135	5.174068687
136	5.172131269
137	5.168349364
138	5.166499575
139	5.164643481
140	5.162215993
141	5.157424593
142	5.155022548
143	5.150177522
144	5.147833133
145	5.144541651
146	5.141669851
147	5.13725574
148	5.133274495
149	5.1282916
150	5.126705582
151	5.122822236
152	5.120826322
153	5.112251958
154	5.109875071
155	5.107224971
156	5.104982454
157	5.102862364
158	5.097446577
159	5.093468273
160	5.085789069
161	5.08193332
162	5.078610675
163	5.075496601
164	5.072244639
165	5.065292912
166	5.062400537
167	5.05758535
168	5.05389819
169	5.051486125
170	5.047098164
171	5.044696599
172	5.038667828
173	5.035648689
174	5.030777311
175	5.028374187
176	5.026864734
177	5.02500314
178	5.024252457
179	5.020622932
180	5.018924149
181	5.015792534
182	5.014186876
183	5.009051803
184	5.007533484
185	5.004941085
186	5.003314145
187	5.002284483
188	4.997791456
189	4.995180301
190	4.992379554
191	4.990952608
192	4.988180192
193	4.986875924
194	4.983586802
195	4.978751435
196	4.972523508
197	4.968895831
198	4.968501342
199	4.963487232
