iter	Passed	Remaining
0	0	142
1	1	134
2	1	129
3	2	130
4	3	129
5	3	128
6	4	126
7	5	139
8	6	140
9	7	138
10	7	135
11	8	133
12	9	132
13	10	134
14	10	132
15	11	130
16	11	129
17	12	127
18	13	125
19	13	124
20	14	123
21	16	131
22	17	136
23	18	138
24	19	138
25	20	136
26	20	134
27	21	132
28	22	130
29	22	129
30	23	127
31	24	127
32	24	126
33	25	124
34	26	123
35	26	122
36	28	124
37	29	125
38	30	124
39	30	122
40	31	121
41	31	120
42	32	118
43	33	118
44	34	117
45	34	116
46	35	114
47	35	113
48	36	112
49	37	111
50	38	111
51	38	110
52	40	110
53	41	111
54	41	110
55	42	109
56	43	108
57	44	108
58	44	107
59	45	106
60	46	105
61	46	104
62	47	103
63	48	102
64	48	101
65	50	101
66	51	102
67	52	101
68	53	100
69	53	99
70	54	98
71	54	97
72	55	96
73	56	95
74	56	94
75	57	93
76	58	92
77	58	91
78	59	91
79	60	90
80	60	89
81	61	88
82	62	88
83	63	87
84	64	87
85	65	86
86	65	85
87	66	84
88	67	83
89	67	82
90	68	82
91	69	81
92	69	80
93	70	79
94	71	78
95	71	77
96	72	76
97	73	76
98	73	75
99	74	74
100	75	74
101	76	73
102	77	72
103	77	71
104	78	71
105	79	70
106	79	69
107	80	68
108	81	67
109	81	67
110	82	66
111	83	65
112	84	64
113	84	63
114	85	63
115	86	62
116	87	61
117	88	61
118	89	60
119	89	59
120	90	58
121	90	58
122	91	57
123	92	56
124	92	55
125	93	54
126	94	54
127	94	53
128	95	52
129	96	51
130	96	50
131	97	50
132	97	49
133	98	48
134	99	48
135	100	47
136	101	46
137	102	45
138	102	45
139	103	44
140	104	43
141	104	42
142	105	42
143	106	41
144	106	40
145	107	39
146	108	39
147	108	38
148	109	37
149	110	36
150	110	36
151	111	35
152	113	34
153	113	34
154	114	33
155	115	32
156	115	31
157	116	30
158	117	30
159	117	29
160	118	28
161	119	27
162	120	27
163	120	26
164	121	25
165	122	25
166	123	24
167	124	23
168	124	22
169	125	22
170	126	21
171	126	20
172	127	19
173	128	19
174	128	18
175	129	17
176	130	16
177	130	16
178	131	15
179	132	14
180	132	13
181	133	13
182	134	12
183	135	11
184	136	11
185	136	10
186	137	9
187	138	8
188	141	8
189	141	7
190	142	6
191	143	5
192	144	5
193	145	4
194	147	3
195	147	3
196	148	2
197	149	1
198	150	0
199	151	0
